Name,RatingValue,DatePublished,Review,Sentiment
Como En Casa,5,2019-07-22,"Came here with my Spanish class of 7 after our last class. All 7 out of 7 of us polished our plates until it was shiny clean.

I ordered the tamales with mole chicken, with rice and beans. It came with a side of salsa, which I had refilled. BEST RICE AND BEANS I'VE EVER HAD!!! Want to cry just thinking about it. It was a revelation. And the tamales were very aromatic. The salsa was just the perfect kick to tie it all together.

Basically the best Mexican food I've ever had in Toronto.",2
Good Hombres,4,2020-01-17,"After hearing many phenomenal reviews about Good Hombres, and having tried its sister restaurant Campechano, I felt very much obligated and drawn to trying this place! To my knowledge, they've recently begun taking reservations, so I placed one for a Thursday night. It's quite a long, narrow joint - upon walking in, you're met with a kitchen counter / bar for takeout and quick orders. To get to the main dining room, you pass through a small doorway. The vibe is also significantly different from Campechano; it's a far more casual vibe adorned with bright, colourful paintings.

To be honest, I was on the fence between 3 and 4 stars. On the one hand, I really did enjoy the tacos and they're objectively better than most places. On the other, I enjoyed Campechano much more, but gave that place 4 stars. In terms of cost / value, both place ended up costing me roughly the same, but I found Campechano to be far more satisfying (they have a double tortilla and have heftier, more generous fillings).

We ordered 10 tacos (for $3.95) each. I got the pescado (fish / haddock), champinones (mushrooms), camaron (shrimp) for my first round. For my second, I got a second pescado and added the barbacoa (lamb leg). My boyfriend got the carnitas (confit pork shoulder), pastor (pork butt), and barbacoa. For his second round, he got double carnitas - he just loved it that much!

Carnitas & Barbacoa
These tacos tasted identical to the ones I had at Campechano, so my review remains unchanged. The carnitas, being cooked in its own fat, is a very rich and hearty concoction. There's no real acidity, apart from the lime, to balance out the flavours - as such, it's a very pure, meaty delight. The barbacoa is seasoned and has more spices, and the meat is less 'tender and soft' compared to the pork (though objectively still very tender).

Pastor
The pork butt is definitely tougher and drier than the other meats, but still super flavourful. I particularly liked the addition of the pineapples - while it threw me off initially, I found that the fruitiness helped balance the textures and flavours. 

Pescado
There was a good chunk of fried haddock on the taco, topped with some pickles and spicy chipotle mayo. It was delicious - and so lightly battered! The flavour is a bit more muted than the meat tacos, but so satisfying. 

Champinones
This was the weakest one, I found - but still super fragrant and umami. The mushrooms didn't go as well with the tacos as the other options, but it's still very flavourful and far better than the poblano peppers I had at Campechano last time.

Camaron
I personally found this taco a bit difficult to eat; the small pieces of deep fried, brown shrimp bits often crumbled and threaten to cascade on my plate. That said, the flavours were delicious! I found them somewhat similar to the pescado (likely attributed to the common denominator of chipotle mayo), but the flavours were far richer and heartier. Definitely my favourite - and this is a slightly 'pricier' (though nonetheless not expensive) taco at $4.25. Well worth it!

Overall, I did thoroughly enjoy Good Hombres. The tacos are smaller than those at Campechano (maybe ~60% of the size?) but the flavours are the same. The service and ambiance is good. It's likely a nature of the tacos I chose (fish and shrimp), but I found there to be too much chipotle mayo. That said, I would definitely come again, and cannot wait for the opening of their third store!",2
Bar Buca,3,2020-03-09,"I really wanted to like this place. The staff were friendly, and the food LOOKED good.

Alas - not to be.

We came here because my friend was craving their crespelle (olive oil fried pancakes). That was ok - it was a bit greasier than we thought it would be (and I say this as someone who loves olive oil cake) and was lacking in taste. The bombolone sandwich was delicious - the pun was the perfect texture complement to the sausage. And the tiramisu was also super disappointing - it was their ""take"" but was definitely not an improvement.

Damn.

I'd say this is more of a 3.5/5.",1
El Catrin Destileria,3,2020-02-01,"El Catrin is good! Located in the heart of Toronto's Distillery District, it prides itself on its traditional Mexican-style cuisine in a casual, yet oh-so-slightly-upscale atmosphere.

The interior is very tastefully decorated and the restaurant features a large outdoor patio equipped with giant space heaters for colder days.

I went to El Catrin for lunch and tried the Pepito torta while my companion had the Huevos Rancheros. The steak sandwich was really well marinated and super tender. Go for it! Oh, and we had the tableside-made guacamole with the tortilla chips (which turned out to be pretty excellent). You should go for that as well.

There aren't too many great options for food near Corktown/Distillery District, so give El Catrin a try next time you're around.",1
Terroni,3,2019-11-01,"Authentic italian food served in the same fashion.

Service: The staff were friendly, but the wait times were pretty unacceptable considering we had a large group with a reservation. We arrived on time, but still had to wait upwards of 30 minutes for a table, and it almost ruined the surprise birthday. The food came as ordered, but the waiters clearly didn't communicate with each other as they didn't know who ordered what and had to check several times.

Food: The pasta was cooked al dente, closer to the firmer side. You could tell the pasta was fresh, and they were fairly generous with the truffle shavings. However, the seasoning was a bit overwhelming, as it seemed to overpower the truffle flavour.

Overall: Seating was nice in a semi-private room, food was bene, but waiting half an hour for a reserved spot is not appreciated.",1
Asian Legend,3,2018-08-29,"Went there with my husband on a Saturday night, and noticed that they don't have many tables for 2-4 people. So you basically have to wait until a table is available. They do have seats on 2 levels. 
The Chinese food was average, nothing special. It's a little bit over priced compared to the other Chinese restaurants that's in the area.",1
Fudao noodle house,5,2019-05-04,"Place:
This place is so my favorite! I cannot stress how this is probably a top thing to do in Toronto. 

Service:
The service is pretty good. They are good at providing the necessary things needed for your entrees or what you ordered.

Food/price:
The food is known for their hotpot and ""DIY broths"". It is worth your buck because it is really fun making your own soup. There are some dishes where the noodles are all you can eat. SO WORTH

Audience:
A lot of my friends said that they really love going here when they travel to Toronto. Good for friends or dates! 

Recommend/tips?
I highly recommend this place and the tip would be come when it is not that busy! So not the typical lunch/dinner times.",2
Yummy Yummy Dumplings,1,2018-09-30,"I was craving soup dumplings and this restaurant has such good reviews that I just had to come here. It's a tiny restaurant down some steps, so it might be hard at first to find if you don't know what you're looking for exactly. There isn't a ton of seats, so if it's busy, you might need to wait for a table.

The restaurant itself could use a huge facelift. The washrooms were dirty and very small. The whole place just feels outdated - minus the tables and chairs. I came on a busy Saturday night but was seated fairly quickly. They cleaned my table before I was seated but the dish cloth they used to wipe the table was definitely used.. my table just smelled like a used dish cloth, sadly.
There were also a TON of mosquitos. We were seated right in front the of door, so perhaps this could be why.. but the most odd thing is that they would just drop onto our table and food, and almost die or stop moving instantly. Not sure what was going on.. but it ruined my appetite. 

ONTO THE FOOD: the most important reason why I'm reviewing! We ordered the Juicy Pork Dumplings (soup dumplings), fried shrimp & pork dumplings, & chive pancakes. The soup dumplings were just okay. The filling wasn't as flavourful as other ones that I've tried from other places. It was missing something but I can't figure out what it is. The pancakes were really good, and I wish I ate more but they were dripping I grease, so I couldn't eat more than 2. I didn't have any of the fried dumplings but my boyfriend said they were very greasy as well. We actually had to go get a drink from a bar close by just to get rid of the greasy feel in our mouths.

I honestly wouldn't come back here myself. A lot of other people gave this place high reviews so I'm not sure if I just had a bad experience or not. But the greasy food and mosquitos flying around or dropped dead in front of us wasn't acceptable.",0
Eataly,3,2020-03-11,"Eataly is located in the Manulife building but it has its own entrance (you have to walk past the Manulife building entrance) to see the Eataly one. If you go in the Manulife entrance, it's like a wild goose chase trying to find Eataly - there's no signage or direction anywhere. 

In general, Eataly is a nice concept for all things italian. The items are a little on the pricier side and you can get most items elsewhere for cheaper. But as my friend said, it's the Eataly experience.

There are a few restaurants (reservations recommended), counter type food stations, desserts, coffee, a bar, and a grocery store with meats, cheese, olives etc. 

I also think a lot of the produce products will end up in the garbage - you can see them starting to turn bad. Not sure if there is a large enough market for those products. 

Overall, it was a nice place to visit but the experience was just okay. It can get crowded with people everywhere just browsing. The food was just okay (we ate at La Pizza and La Pasta, and had a cannoli and a tiramisu after). I feel like I've had better Italian Food elsewhere. 

Come for the hype once and then spend your $$ elsewhere.",1
Lai Wah Heen,2,2019-06-08,"Stopped by on a Sunday for some dim sum, having visited previously ~6 years ago and recalling an enjoyable visit. Lai Wah Heen is on the second floor of an aging Doubletree Hotel in Chinatown. The hotel has seen better days, but the dining room is fine and clean, if dated. Our experience with the food on this visit was quite mediocre. While nothing was off putting, the flavor and quality were not a good as we had remembered, and certainly a far cry from our best dim sums in China/HK. Honestly, there were no clear highlights. Service was above average for a Chinese venue, i.e. you don't have to flag down a waitress, but nothing to write home about. While we are out-of-towners, believe there are probably better options for dim sum.",0
Campechano Taquería,3,2019-11-25,"After many friends had recommended this place, I decided to try it. Honestly, it was pretty overrated. The tortillas weren't great, and the guac was just alright. Glad I tried it because the place is cool, but the food is pretty forgettable.",1
Yummy Yummy Dumplings,4,2019-04-06,"We came on a Thursday night for dinner. The restaurant is quite small and it is on a basement level, we walked down stairs to get to the front entrance. There were a few tables occupied but many tables still empty so we didn't have to wait.

The restaurant has plain decor and they haven't done much in terms of upgrading furniture and renos, it's quite bare-bones. The menu has a wide selection of various dumplings, buns, and appetizers. To order you write down your menu item number on a piece of paper and give to the waiters. 

We ordered pork steamed dumplings, fried chicken dumplings, fried pork puns, and green onion pancakes. The dumplings were filled nicely with the meat and were quite large. For two people, we ordered more than enough and were very full. I loved the fried pork buns - they were juicy and fried just right at the bottom. I think the food is a little on the expensive side - it averages out to almost $1 per dumpling but for the quality and taste it's worth it. 

Overall a great little family owned shop in Chinatown to get your fill of dumplings. It's generous on the fillings of the dumpling and very flavourful. Yummy indeed!",2
Homemade Ramen,3,2019-03-15,"I guess I'm becoming more health-conscious, but after loading up on carbohydrates in the form of noodles, I didn't feel great afterwards. The noodles themselves are a step above your ordinary noodles, I have to admit. They do a good job in the noddles department, but I couldn't shake off the feeling that I ate something that wasn't beneficial for my health or my body. That place was packed on a Friday evening, so I'm guessing it's pretty popular and has a loyal clientele. Despite good service, I probably won't be coming back as my diet and food preferences are slowly shifting toward healthy & nutritious food that good for my body. Everyone has to make their own choice. After all, you are what you eat. Food is medicine if you eat the right food.",1
Buca,5,2019-08-16,"Dinner for 4 on Thursday - Summer.  We were able to get in but highly recommend you to make reservation.  Two hosts, very friendly, knowledgeable and helpful.  We were seated in the comunal table (sits 8, but no one else joined). Great view to the kitchen.

Ambience is modern, dressy.  Great for special occasions.  You will feel you are in a restaurant in Italy.  Big open floor but somehow allows for intimate conversations.  Most people were enjoying one another and their food.

Prosciutto and selection of 3 cheeses were very tasty.  Prosciutto directly from Parma.  Best cheese of the 3 was Parmigiano (other two were Peccorino and Mozarella di Buffala).

For entrees:  Capeletti was our favorite dish- pasta filled w ricotta, lemon sauce and mushrooms.  Maccheroncini was a close second call- tomato sauce was so tasty and natural!.  Pomodoro e Tartufo pizza was done to perfection.  I noticed other reviews calling the weird shape of their pizzas.  Nothing weird about that.  Perfectly shaped and done Italian style.  Again, we felt we were in Italy.

Desserts: Torta Amalfi (almond based cake w fruit) was very tasty, recommend to share between 2 or 3.  Their gelatos were fluffy and flavorful.

Lastly, as expected, they had a very good selection of wines.  Their Italian list is very extensive.  We opted for a bottle of Nebbiolo and it paired very well w our dinner.",2
La Chingada,3,2020-03-02,"Went last week on Thursday to try their all you can eat Tacos. Nice hand made tortillas. I tried Beef, Carnitas, Pastor and Barbacoa. They were okish, the beef meat wasn't too good. Barbacoa was nice. Very well served with lots of meat. The salsas were in a bottle mild, medium and hot. Not very typical Mexican salsas in terms of flavour and freshness. A friend ordered a slice of Tres leches cake and something was off, the milk on it was not very good tbh so it wasn't eaten. So $19 for all you can eat, 3 tacos first and then one taco at the time. It wasn't completely bad but I doubt I will be back.",1
Wilbur Mexicana,3,2019-12-14,"Great spot if you wanna get some quick tacos or burritos.

There was a huge variety of options to order and al for a fair price however there was a huge lack of flavour in anything you ate until you added sauces from their sauce bar(which was great). I felt like I was getting grilled vegetables flavoured with salt and wrapped in a tortilla. 

My stars are really going towards the tomatillo sauce which really saved the day.",1
Mariachi’s Restaurant,2,2018-06-29,"If you want to go for excellent customer service, go for it. Great people, great location. 

However, if you are going for the food. Skip this place and try something else. Food was mediocre, tasteless and expensive. I'm sorry but I wish I could go back in time and save myself $66.",0
Agio,3,2020-04-24,"Terrific food, poor atmosphere, great customer service.  They deliver and are open during covid!",1
Buca Yorkville,3,2019-07-21,"What's happening Buca? Is expansion over quality influencing the dishes.

Was staying in the area for an occasion and decided to head here for desert here after dinner at The One at Hazelton Hotel. We ordered 3 desert dishes, including their tiramisu. Can't say I was impressed. 

Service as usual was great. 

Repeat:Likely no.",1
Greedy Duck & Noodles,2,2019-04-29,"Maybe I didn't know what to expect but the wings are served cool and are mostly skin and bone. Did not do it for me. The noodles were hot and flavorful but the sesame texture is quite chalky and I didn't find myself wanting to eat more than a few big bites full. Mostly just noodles, a little sauce and some garnish.",0
Magical Taste of China,1,2019-12-15,"Very bad service the servers are so loud and rude .. the food tastes bad and super oily, the chicken is not white meat while they told me it was , the rice had rocks in it that almost broke my tooth and so not clean the whole experience was so bad I wouldn't recommend anyone to go there and on top of that I went back home with food poison and had diarreah .. the worst place ever please watch out",0
Taverna Mercatto,2,2019-12-19,"This is definitely Italian food for the after-work crowd, a Buca di Beppo-type of experience that didn't leave that much of an impression on my palate. It wasn't that the food was badly executed but rather that the plates were by-the-numbers unmemorable. I was here with the same dozen people I had been with for the previous eight hours, so small talk opportunities had already been exhausted as we sat closely together at a communal table. Because of the size of our party, I was able to try quite a number of their dishes and got a reasonably broad cross-section.

The common adjective connecting the plates was 'bland'. We started with the $14 Calamari Fritti which apparently came with shishito peppers that had disappeared by the time the plate was passed to me (photo: http://bit.ly/35MxgSg). Meh. I did manage to snag one of the overly chilled prawns on the $21 Shrimp Cocktail platter (photo: http://bit.ly/2EE5UBy). Better were the $13 Beets & Burrata with arugula and toasted almonds (photo: http://bit.ly/34Lnhva) and the $12 Greens which added celery hearts for crunch and a drizzle of sherry vinaigrette (photo: http://bit.ly/36TVmKG). The pasta plates were pretty standard issue given the couple of bites I was able to get of each.

The $21 Linguine di Mare was a typical seafood melange with little imagination (photo: http://bit.ly/2PGtJ22), while the $18 Tortiglioni alla Bolognese at least provided meatiness in the veal & pork ragu, but again it was bland and lacked freshness (photo: http://bit.ly/373WnjJ). The three different pizzas disappointed. The $18 Verdure had toppings and a basil pesto that were rather skimpy on the chewy crust (photo: http://bit.ly/38R3Y6R). while the $17 Margherita was just wet (photo: http://bit.ly/2Q1UXzi). Only the $19 Prosciutto was reasonably good with the padano cheese and prosciutto more plentiful (photo: http://bit.ly/34GULe2). 

Dessert came on cutting boards, and they offered a trio of which truthfully I only tried the Tiramisu Cake Roll which was OK (photo: http://bit.ly/2M8ukaH). There was also Chocolate Budino and Cannolo though my colleagues grabbed those pretty quickly (photo: http://bit.ly/36UM69j). My favorite part of the meal? The $14 Pimms Cup with ginger ale, lemon & cucumber, which honestly hit the spot far more than any of the food (photo: http://bit.ly/2SarzJH). Listen, none of us had high hopes for culinary delights here, and even our sponsor admitted this was not her first choice, but the proximity to our hotel just made it so convenient.

FOOD - 2.5 stars...standard issue Italian with few surprises
AMBIANCE - 2 stars...loud and rather packed after work
SERVICE - 2 stars...nothing special 
TOTAL - 2 stars...not worth seeking out unless your expense account covers it

RELATED - Traveling to Toronto? Here's a collection of places I've tried and reviewed: http://bit.ly/2LETSfV",0
Mexico Lindo,5,2020-02-23,"Ordered for the first time but I've heard so many great things about this place...
WOW
The portions are huge! Very hearty and fresh.
Everything stayed perfectly hot and ready.

The chicken was so tender and flavourful. 

I'll definitely have to get other things from the menu!",2
Mariachi’s Restaurant,3,2017-12-09,"It's pretty good Mexican food, and the atmosphere is cute. I sometimes come here for lunch when I am at work. Service is friendly and the food is decent. I've ordered the tacos, nachos and the churros. Can't go wrong.",1
Chop Chop,5,2020-05-13,"fried rice: it was really good and not too oily. It doesn't make you feel heavy at all. Not too salty and not too oily so you can keep eating without getting sick and tired of it.

Sweet and sour soup: the soup was good, since we ordered the noodle and rice, it was a good portion for the two of us

noodles: I don't quite remember how the noodles tasted sorry haha but I just remember everything being really good

servers are really nice :)",2
Lai Wah Heen,3,2019-06-02,"Lai Wah Heen used to be the best luxury dim sum restaurant in downtown Toronto. Overtime, the quality of the restaurant declined. While services and atmosphere still remain the same, quality and price are no longer on par. 

Out of the four items my brother and I shared, the best item was fried bean curd sheet with mushrooms served with aged balsamic vinegar ($5). It was crispy and juicy. Truffle Snow pea vegetarian wrap was unfortunately subpar ($5.5). The snow pea is not picked and over-steamed. 

With that said, it may still be a good option if you are a downtown dweller. However, I would not recommend Lai Wah Heen if you have access to dim sum restaurants in uptown Markham and Richmond Hill.",1
Fusaro’s Kitchen,2,2018-12-16,"The best thing about this place is the price of the food. Me and my wife went for dinner about an hour and a half before thier closing time on a Saturday night the place was less than half full. We were seated at a table that felt like it was a common walk way by the front door so requested if we could be moved and the waitress refused to move us saying she couldn't offer up a four person table to two people, even though there were plenty and the place wasn't even half full. 

On to the food: 
Bruschetta: bread used was good nice and toasted not overly hard. The tomatoes were tasteless and bland which ruins this dish no matter how good the bread is. Did not taste like bruschetta at all.

My wife ordered the rigatoni Bolognese with a rose sauce. She did not enjoy it at all saying it was watered down sauce with chunks of bland tomatoes. 

I had the penne ala vodka with meatballs as a sub for the bacon my dish was not bad  food came out piping hot, sauce was decent meatballs were small and tasteless.

If you're on a budget, don't care about good service or food quality then this is the spot for you!",0
Dynasty Chinese Cuisine,2,2019-11-17,"Tried the Dim Sum at dinner time- the quality leaves much to be desired although the food was hot and served with typical efficient minimalist ( they did top up your tea promptly) service. The Xiao long bao was completely dry; Char siew bao was dry and flakey ( below expectations). Pricey for the lack of quality.

Saw that they had Tiger beer which was a pleasant surpise 

We probably won't be coming back again .",0
Sichuan Garden Restaurant,3,2018-11-19,"I come to 川味轩 occasionally and every time think to myself ""oh no looks like they closed down"" because of the state of disrepair of the storefront. 

Once inside, it's the same familiar servers and that awful plaid carpet. The prices haven't changed much over the years and neither has the menu, although I did notice the portions are smaller. I always get the lunch specials Kung Pao chicken, a tofu dish and spicy cold noodles which never disappoints. Lunch specials come with a soup of the day. 

Tasty, good value and a viable option if you are willing to relax your standards of cleanliness.",1
King’s Tacos,4,2018-02-01,"After hearing rave reviews about this place from my brother, who loves food more than I do, we finally had a chance to feast on the delicious tacos from here. For 6 people we ordered a large guacamole, refried beans and 3 orders of the special build your own tacos (king's special, chorizo and beef with onion). 

When you arrive, they bring you unlimited nachos and their three sauces, mild, medium and spicy. The mild was my favourite! I can't really describe it but it has a nice smokey flavour and orange in colour. The medium is a green hot sauce which was equally delicious with a nice kick. The spicy was my least favourite. It was kind of spicy, but flavourless. 

The guacamole was delicious. It was perfectly mashed and not too chunky or too creamy. 

The refried beans were yummy, but really heavy so I didn't have too much of it. 

My favourite of the three meats we tried was the kings special. I loved the mix of all the flavours of beef, chorizo and bacon mixed with onions. Yummmm! The beef with onion and the chorizo were good, but for some reason, saltier than the kings special. Also, all these plates are extremely greasy, so keep that in mind because you won't be able to stop yourself from stuffing your face until you can't breath. It's just that delicious. The only downfall was that I felt really crappy for the next few days. The food here is really heavy and oily and it will be coming out of your pores. 

The service here is great! They're quick and friendly. This has been one of my favourite taco experiences in Toronto thus far!",2
Carisma,4,2019-08-07,Great spot for really good Italian. My wife loved it here for her birthday. Food was great and service top notch. Worth a try.,2
Grazie Ristorante,3,2019-03-09,"We came to Grazie for dinner on a Friday evening. It was half empty when we came in (around 4:45), but it was packed by 6pm. Honestly, I expected food to be better based on all the reviews, however it wasn't spectacular food! Service was fine (when it wasn't busy), ambience was traditional but very noisy (perhaps because restaurant is small and packed with people). 

I don't know if I'll return to try again as would like to explore other restaurants around.",1
Miku,2,2019-12-10,"I wanted sooo badly to love Miku ...Because of the high ratings and I being a major sushi lover, I had very high expectations for this place. My overall experience was extremely underwhelming and disappointing.. The quality of the food is definitely not worth the price.

We ordered the anniversary prix fixe, signature sushi selection platter, beef carpaccio and tuna tartare. The prix fixe was OK.. quantity wise this one is actually worth the price as you get a lot of courses, but only the sashimi stood out as it was delicious and so fresh that it melted in my mouth! The sashimi is my favourite dish out of the ENTIRE meal... none of our other dishes stood out at all.. they did not taste fresh and to be honest, very bland. The beef carpaccio had barely any sauce on it but for some reason, had such a strong and weird after taste that my partner only managed 2 bites LOL. I've dined at many sushi restaurants and have had way better quality and fresh sushi for less than half the price at Miku..

Service was pretty good. Our server was very sweet, made sure our waters were always filled and checked up on us a few times. It was just a bit hard to understand her when she was explaining the food items due to her accent but its not too big of a deal.. 

I don't recommend and don't plan to return to Miku... so much better sushi out there at a far better price.",0
Baretto Caffe,5,2018-09-11,"For a few years I've heard about this place, drove by this place, promised myself I'd stop by one day....and it finally happened!  It's an unassuming little cafe - tucked inside a medical building so it might be easy to miss - there is a sign out front indicating the cafe is in the plaza.

I checked in on Yelp and luckily check in offer is a free cap/latte/tea - yeah!   I also ordered a slice of the veggie pizza b/c I was a little hungry.  They do have a pretty good food menu - from breakfast items, to pizzas to pastas.  

Seating is in the front - a few tables and off to the side in a little room - which is so nice - fireplace, clean tables, nice art.  

The veggie pizza (the menu says they use whatever seasonal veggies they have on hand) was pretty good - medium crust, nice and crispy crust and you could see the veggies - mushrooms, peppers.  Not like some veggie pizzas where everything is diced up so fine you can't see anything.  It came with a little side salad.

I ordered the latte and it was nice - smooth and flavourful and they do latte art here!  I got the teddy bear :)  

I could hear the owners/staff greeting a lot of customers - so I assume quite a few people are regulars (assuming they are coming in to the medical offices first).  

I'll definitely be back!",2
Mariachi’s Restaurant,1,2017-05-12,"Almost gave it two stars (read to find out more) but the one thing I can't get over is serving an alcoholic drink to someone who specified ""virgin"", when you delivered it to the table she checked again that it was ""virgin"", you agree verbally it had no alcohol, she tries some, tastes alcohol and then you go -- ""Oooh actually this one is the virgin"".  Sure, if she was pregnant or on medication or driving, maybe the sip of alcohol wouldn't be *that* big a deal.  But if she was recovering alcoholic, that one sip could literally change her life, and it's up to you as a business to be honest and knowledgeable about what you're serving.

Things that were terrible:
- we had a reservation, they called us to confirm it was for 700 pm, show up, they say oops we thought 730 pm, they literally have to move people from their seats to accommodate us
- during the 45 minute wait for all this to take place, they took drink orders from us multiple times, but never served us drinks
- they dropped an entire plate of steaming hot chicken fajitas on the ground, it splashed boiling sauce all over people, and their clothes as well
- when i went over to the owner at this point to say - now that we are covered in fajita sauce - can we please have the drinks we keep trying to order? she made a HUGE stink about it, just immediately responded, ""We didn't do any of this on purpose, do you understand? We are doing our best"" and then going to every member of my party reiterating that, as though I had done some rude injustice to her, it was super embarrassing and unprofessional
- drinks still took an extra hour and they weren't good
- they served the birthday girl fajitas with no tortillas or sides, just the meat (she didn't ask for that modification)
- the food was so awful my poor fiance actually sent his BACK -- and this is a guy who complains about NOTHING
- bills took over an hour after asking MULTIPLE times
- the place was so warm they had to keep opening the front door to let in cool air

It almost got 2 stars because they did pay the dry cleaning bill for the jacket that was covered in fajitas sauce, but honestly, I can't forgive the alcohol incident.  This whole experience was stressful and awful. I have no idea why they took our reservation (none of us had been there before), we were clearly too big a group for them at 700 (or 730..or 800...depends who you ask) on a Saturday!",0
Dynasty Chinese Cuisine,1,2019-02-21,"Came here to celebrate my Friends Birthday, Food is good but for the price its not worth it.service not good. I ask them if they can do something for her like candle and small dessert..And she said yeah we can do that..And I was waiting for it and she forgot and I felt bad that I have to said it infront of my friend when it supposed to be surprise.He said that they don't have anything like that but We saw that they did it on the other table.By the way we paid around $500 for that small portion of food and Bad service!",0
KINKA IZAKAYA ORIGINAL,3,2020-03-12,"One of the oldest restaurants that I had been to. Since North York. It's always been a great experience with them! No matter was the lunch hours having great lunch sets and yummy fish; but also the dinner are always pretty impressive. The late snacks are pretty good too! 
Don't forget to try their cocktails if you drink! 
Overall a pretty good experience there although sometimes is too noisy to talk with frds",1
Ristorante Sotto Sotto,5,2019-12-29,"As an Italian chef myself, there aren't many restaurants where I would dine unless it's my own or Sotto Sotto. 
Hands down one of The Best Italian Restaurant in Ontario.",2
Lee Chen Asian Bistro,4,2019-08-07,"Lee Chen Asian Bistro is a decent spot for Chinese food near the theatres and financial district. It may look small from the outside, but it's quite large and spacious in the inside. The interior is very clean with nice decor. It even has a small garden and mini running waterfall just outside of the restaurant (great if you can score a table by the window, facing the mini garden). The customer service is very attentive and superior for a Chinese restaurant (e.g. the servers come by your desk to ask if everything is ok a few times throughout the meal, which usually doesn't happen in most other Chinese restaurants).

The menu contains some typical Chinese dishes. During weekday lunch hours, they have a separate lunch ""combo"" specials which are pretty good. Each combo comes with a choice of carbs (white rice, brown rice, fried rice, or fried noodles), meal entrée (protein / veg choices), bowl of side salad, and a spring roll. I ordered the brown rice and it came in a cute bamboo container. The entrée was nicely presented on an edible open flower-shaped bowl made out of crispy wonton skin.

The restaurant is a great choice for having a business or team lunch. The large space can accommodate large parties if booked in advance. The ambience is also nice and not too loud.",2
Eataly,1,2020-02-21,"OK
in life we are allowed to change our minds.
This place is so CONGESTED and FRUSTRATING.
You had to know it would be a success!???  Rent the whole building out!?  A claustrophobic maze getting in and out of here..  want a coffee/espresso upstairs; FORGET about it; I've been 8 times; only twice was the line under a dozen people, it's good but the line is too long.  Some of the worst cashiers at pizza line; chatting, hugging, orders wrong... I don't think I like this place anymore.",0
Lee Chen Asian Bistro,3,2019-06-18,"My friend and I were in the area, craving Chinese food, and didn't want to walk too far, so we came here for dinner on a Saturday night. The restaurant is nice on the inside and well kept. The waitstaff are friendly enough and pretty attentive. The food is pretty overpriced though and lacks flavor.

My friend ordered the green onion pancake and wonton soup. I had the spicy beef noodle soup. The green onion pancake was average, but the wonton soup broth had pretty good flavor. There were only three small wontons though, which my friend wasn't happy about. I wish the beef noodle soup had some flavor - it tasted like spicy and mildly salty water, which was surprising given how rich the soup looked. The noodles had a nice springy-ness to them, and there was A LOT of beef. I usually complain there isn't enough beef in my noodle soups, but I couldn't finish all the beef in my soup this time!

I'd consider taking friends here if they've only grown up on burgers their whole life and want to try Asian cuisine (maybe bring some spice packets along...), but I would not recommend this place to people who want authentic Chinese food. Take a 25 minute walk to Spadina Avenue instead.",1
MEXITACO,5,2019-02-15,"Yum, what else u wanna know.

Good authentic food,  fresh, delicious,  good flavor and good beers too!
 Try it",2
Chula Taberna Mexicana,2,2018-12-23,"I came last summer and had an amazing dinner, I remembered the tacos to be rich in flavour and super affordable which was a big stand out to me since a lot of other taco places that charge upwards of $7/8 per taco. I dare to say that this WAS my favourite taco place at the time.

I came back this month for the first time in nearly a year and things were a lot different. For Tacos, I ordered the Biztec de Carne and the Carnita and they ended up tasting exactly the same, which was disappointing and weird since they have a lot of different ingredients altogether. Also there seemed to be a lot of liquid in the taco filling because halfway through eating one of my tacos it fell apart due to the moisture. Also, in all of the tacos, there seemed to be this weird crunchy/salty/sweet ingredient that I couldn't tell what it was. It was really odd, and gave the tacos a weird flavour/texture profile. This was not the same as what I ate a year ago, and they seemed to be more expensive than I remembered.

The one thing that stayed consistent however was their amazing Churro Sundae - everyone in the restaurant seemed to be ordering this. Their Churros were seasoned and cooked perfectly, and the caramel ice cream pairs perfectly - its one of the best churro desserts in the city in my opinion, and would come back just for this.",0
Los Guaca-Moles,1,2018-09-23,"If you want to pay for a virgin margarita for a regular priced margarita, by all means come to this place!",0
Cinco Mexican Restaurant,4,2019-02-27,"My husband and I were in the area and thanks to Yelp, we ended up at this cute restaurant. Our visit here definitely didn't disappoint! Upon walking in, the beautiful murals are hard to miss and it's noticeably small with only a few tables but I actually like that about it. There's something great about hole in the wall type places as these very places are often where great food is at and you'll find that's the case here for sure. 

There were so many choices - each of the different tacos sounded delicious! There are street tacos which are smaller in size for about $4 each and there are a few options like chicken, pork, beef, fish, and vegetarian. There are also gourmet tacos which are more of the stars of the menu here since they are bigger in size and there are many more options that the street tacos. Check out the menu as there are too many to name! The gourmet tacos range in price from around $7.99 - $9.00 depending on which one you order. There's something for everyone!

We ended up getting the combined chorizo and beef gourmet taco, as well as the braised pork and pork belly gourmet taco. Both were filling and delicious but the chorizo/beef taco was slightly more flavourful. Complimentary nachos are provided while you wait for your order as well. I also loved how this place has a salsa bar of about six different salsas with different levels of heat. We enjoyed each one but I particularly liked the creamy habanero one. This place is definitely worth a visit!",2
